state	account_length	area_code	phone_number	international_plan	voice_mail_plan	number_vmail_messages	total_day_minutes	total_day_calls	total_day_charge	total_eve_minutes	total_eve_calls	total_eve_charge	total_night_minutes	total_night_calls	total_night_charge	total_intl_minutes	total_intl_calls	total_intl_charge	number_customer_service_calls	class
KS	128	415	382-4657	0	1	25	265.1	110	45.07	197.4	99	16.78	244.7	91	11.01	10	3	2.7	1	0
OH	84	408	375-9999	1	0	0	299.4	71	50.9	61.9	88	5.26	196.9	89	8.86	6.6	7	1.78	2	0
OK	75	415	330-6626	1	0	0	166.7	113	28.34	148.3	122	12.61	186.9	121	8.41	10.1	3	2.73	3	0
AL	118	510	391-8027	1	0	0	223.4	98	37.98	220.6	101	18.75	203.9	118	9.18	6.3	6	1.7	0	0
LA	117	408	335-4719	0	0	0	184.5	97	31.37	351.6	80	29.89	215.8	90	9.71	8.7	4	2.35	1	0
WV	141	415	330-8173	1	1	37	258.6	84	43.96	222	111	18.87	326.4	97	14.69	11.2	5	3.02	0	0
RI	74	415	344-9403	0	0	0	187.7	127	31.91	163.4	148	13.89	196	94	8.82	9.1	5	2.46	0	0
ID	85	408	350-8884	0	1	27	196.4	139	33.39	280.9	90	23.88	89.3	75	4.02	13.8	4	3.73	1	0
VT	93	510	386-2923	0	0	0	190.7	114	32.42	218.2	111	18.55	129.6	121	5.83	8.1	3	2.19	3	0
VA	76	510	356-2992	0	1	33	189.7	66	32.25	212.8	65	18.09	165.7	108	7.46	10	5	2.7	1	0
TX	73	415	373-2782	0	0	0	224.4	90	38.15	159.5	88	13.56	192.8	74	8.68	13	2	3.51	1	0
FL	147	415	396-5800	0	0	0	155.1	117	26.37	239.7	93	20.37	208.8	133	9.4	10.6	4	2.86	0	0
AZ	130	415	358-1958	0	0	0	183	112	31.11	72.9	99	6.2	181.8	78	8.18	9.5	19	2.57	0	0
NE	174	415	331-3698	0	0	0	124.3	76	21.13	277.1	112	23.55	250.7	115	11.28	15.5	5	4.19	3	0
WY	57	408	357-3817	0	1	39	213	115	36.21	191.1	112	16.24	182.7	115	8.22	9.5	3	2.57	0	0
MO	20	415	353-2630	0	0	0	190	109	32.3	258.2	84	21.95	181.5	102	8.17	6.3	6	1.7	0	0
HI	49	510	410-7789	0	0	0	119.3	117	20.28	215.1	109	18.28	178.7	90	8.04	11.1	1	3	1	0
IL	142	415	416-8428	0	0	0	84.8	95	14.42	136.7	63	11.62	250.5	148	11.27	14.2	6	3.83	2	0
NH	75	510	370-3359	0	0	0	226.1	105	38.44	201.5	107	17.13	246.2	98	11.08	10.3	5	2.78	1	0
OK	57	408	395-2854	0	1	25	176.8	94	30.06	195	75	16.58	213.5	116	9.61	8.3	4	2.24	0	0
GA	72	415	362-1407	0	1	37	220	80	37.4	217.3	102	18.47	152.8	71	6.88	14.7	6	3.97	3	0
AK	36	408	341-9764	0	1	30	146.3	128	24.87	162.5	80	13.81	129.3	109	5.82	14.5	6	3.92	0	0
MA	78	415	353-3305	0	0	0	130.8	64	22.24	223.7	116	19.01	227.8	108	10.25	10	5	2.7	1	0
AK	136	415	402-1381	1	1	33	203.9	106	34.66	187.6	99	15.95	101.7	107	4.58	10.5	6	2.84	3	0
GA	98	408	372-9976	0	0	0	126.3	102	21.47	166.8	85	14.18	187.8	135	8.45	9.4	2	2.54	3	0
AR	34	510	353-7289	0	0	0	124.8	82	21.22	282.2	98	23.99	311.5	78	14.02	10	4	2.7	2	0
ID	160	415	390-7274	0	0	0	85.8	77	14.59	165.3	110	14.05	178.5	92	8.03	9.2	4	2.48	3	0
WI	64	510	352-1237	0	0	0	154	67	26.18	225.8	118	19.19	265.3	86	11.94	3.5	3	0.95	1	0
DE	142	408	364-1995	0	0	0	187	133	31.79	134.6	74	11.44	242.2	127	10.9	7.4	5	2	2	0
ID	119	415	398-1294	0	0	0	159.1	114	27.05	231.3	117	19.66	143.2	91	6.44	8.8	3	2.38	5	1
IA	52	408	413-4957	0	0	0	191.9	108	32.62	269.8	96	22.93	236.8	87	10.66	7.8	5	2.11	3	0
IN	60	408	420-5645	0	0	0	220.6	57	37.5	211.1	115	17.94	249	129	11.21	6.8	3	1.84	1	0
VA	10	408	349-4396	0	0	0	186.1	112	31.64	190.2	66	16.17	282.8	57	12.73	11.4	6	3.08	2	0
UT	96	415	404-3211	0	0	0	160.2	117	27.23	267.5	67	22.74	228.5	68	10.28	9.3	5	2.51	2	0
WY	87	415	353-3759	0	0	0	151	83	25.67	219.7	116	18.67	203.9	127	9.18	9.7	3	2.62	5	1
IN	81	408	363-5947	0	0	0	175.5	67	29.84	249.3	85	21.19	270.2	98	12.16	10.2	3	2.75	1	0
CO	121	408	370-7574	0	1	30	198.4	129	33.73	75.3	77	6.4	181.2	77	8.15	5.8	3	1.57	3	1
CA	116	415	405-3371	0	1	34	268.6	83	45.66	178.2	142	15.15	166.3	106	7.48	11.6	3	3.13	2	0
SD	149	408	332-8160	0	1	28	180.7	92	30.72	187.8	64	15.96	265.5	53	11.95	12.6	3	3.4	3	0
NC	38	408	359-4081	0	0	0	131.2	98	22.3	162.9	97	13.85	159	106	7.15	8.2	6	2.21	2	0
WA	40	415	352-8305	0	1	41	148.1	74	25.18	169.5	88	14.41	214.1	102	9.63	6.2	5	1.67	2	0
WY	43	415	329-9847	1	0	0	251.5	105	42.76	212.8	104	18.09	157.8	67	7.1	9.3	4	2.51	0	0
MN	113	408	365-9011	1	0	0	125.2	93	21.28	206.4	119	17.54	129.3	139	5.82	8.3	8	2.24	0	0
UT	126	408	338-9472	0	0	0	211.6	70	35.97	216.9	80	18.44	153.5	60	6.91	7.8	1	2.11	1	0
NJ	138	408	359-1231	0	0	0	241.8	93	41.11	170.5	83	14.49	295.3	104	13.29	11.8	7	3.19	3	0
NM	147	510	415-2935	0	0	0	248.6	83	42.26	148.9	85	12.66	172.5	109	7.76	8	4	2.16	3	0
HI	85	415	362-5889	0	0	0	235.8	109	40.09	157.2	94	13.36	188.2	99	8.47	12	3	3.24	0	0
MN	50	415	350-8921	0	0	0	157.1	90	26.71	223.3	72	18.98	181.4	111	8.16	6.1	2	1.65	1	0
DC	82	415	374-5353	0	0	0	300.3	109	51.05	181	100	15.39	270.1	73	12.15	11.7	4	3.16	0	1
WV	144	415	354-4577	0	0	0	201.1	99	34.19	303.5	74	25.8	224	119	10.08	13.2	2	3.56	1	0
OR	116	415	331-7425	1	0	0	215.4	104	36.62	204.8	79	17.41	278.5	109	12.53	12.6	5	3.4	3	0
TX	106	510	395-3026	0	0	0	210.6	96	35.8	249.2	85	21.18	191.4	88	8.61	12.4	1	3.35	2	1
IN	94	408	402-1251	0	0	0	157.9	105	26.84	155	101	13.18	189.6	84	8.53	8	5	2.16	4	1
